name,genre,developer,clasification

FC 26,Sports,EA,M
The Legend of Zelda: Echoes of Wisdom,Adventure,Nintendo,E
Elden Ring,Action RPG,FromSoftware,M
Minecraft,Sandbox,Mojang,E10+
Cyberpunk 2077,RPG,CD Projekt Red,M
Rocket League,Sports,Psyonix,E
Stardew Valley,Simulation,ConcernedApe,E10+
God of War Ragnarök,Action,Santa Monica Studio,M
Spider-Man 2,Action,Insomniac Games,T
Final Fantasy VII Rebirth,RPG,Square Enix,T
Hades II,Roguelike,Supergiant Games,T
Assassin's Creed II, Action,Ubisoft, M

